iter	Logloss
0	0.6909314895
1	0.6888381753
2	0.6866569485
3	0.6842251217
4	0.682279934
5	0.6799810162
6	0.6778434172
7	0.6762294615
8	0.6738412626
9	0.6715528001
10	0.6694923846
11	0.667715413
12	0.6660047865
13	0.6637895661
14	0.6619431295
15	0.6598639929
16	0.6572773613
17	0.6551747412
18	0.6529811979
19	0.6514309049
20	0.64982943
21	0.6479116671
22	0.6464306203
23	0.6440768528
24	0.6419999058
25	0.6399918766
26	0.638341683
27	0.6367797304
28	0.6349097556
29	0.6328807061
30	0.6312485768
31	0.6295999159
32	0.6286304696
33	0.6269269045
34	0.6253762831
35	0.6236778088
36	0.6216575725
37	0.6209418464
38	0.6193023818
39	0.6176784088
40	0.6163394671
41	0.614841013
42	0.6133863509
43	0.6121956453
44	0.6110344994
45	0.6097598226
46	0.6085142127
47	0.6069324989
48	0.6057340203
49	0.6040645582
50	0.6026934842
51	0.6012140248
52	0.5997430502
53	0.5983373804
54	0.5968925168
55	0.5956690219
56	0.5941104085
57	0.5928346916
58	0.5917333765
59	0.590234375
60	0.5888687202
61	0.5882854102
62	0.5866408002
63	0.5855708511
64	0.5841972591
65	0.5828840452
66	0.5813189725
67	0.5798382541
68	0.5788667824
69	0.5775634766
70	0.5761610365
71	0.5749290022
72	0.5737577293
73	0.5724023656
74	0.5710316748
75	0.5700140572
76	0.5688425107
77	0.5673994535
78	0.5665179197
79	0.5656652339
80	0.5646051929
81	0.5636108946
82	0.5629230311
83	0.5620089817
84	0.5609371168
85	0.5599199372
86	0.5588307744
87	0.5579131122
88	0.5569341412
89	0.5561507563
90	0.555048018
91	0.554120612
92	0.553090459
93	0.5521683629
94	0.55114976
95	0.5503121278
96	0.5490863338
97	0.5480503236
98	0.5470302428
99	0.5461954023
100	0.545435063
101	0.5446619145
102	0.5437080144
103	0.5427645696
104	0.5418897689
105	0.5409884739
106	0.5403646016
107	0.5394271782
108	0.5388610566
109	0.538158687
110	0.5375698483
111	0.5366185757
112	0.5356860789
113	0.5348722586
114	0.5339162784
115	0.5331709379
116	0.5322804267
117	0.5314176688
118	0.530452109
119	0.5296081269
120	0.5288495393
121	0.5281098917
122	0.5274497267
123	0.5267281434
124	0.5259304714
125	0.5253616675
126	0.5247332517
127	0.5237909018
128	0.5231725582
129	0.5223433559
130	0.5216264254
131	0.5207983727
132	0.5199192475
133	0.5191088758
134	0.5187689401
135	0.5182048438
136	0.5174158208
137	0.5169170842
138	0.5162306987
139	0.5156465128
140	0.5149737029
141	0.514219166
142	0.5135581252
143	0.5128292614
144	0.5122264092
145	0.5119232041
146	0.5112581672
147	0.5108038248
148	0.5102413708
149	0.5095640174
150	0.5088052656
151	0.5082173027
152	0.5075117582
153	0.5068954947
