iter	Passed	Remaining
0	4	3450
1	6	2949
2	10	2880
3	13	2873
4	16	2831
5	19	2814
6	24	2898
7	29	3099
8	33	3129
9	37	3157
10	43	3344
11	48	3414
12	54	3528
13	58	3487
14	61	3439
15	65	3403
16	68	3358
17	72	3347
18	77	3391
19	82	3418
20	86	3414
21	90	3415
22	94	3412
23	98	3393
24	101	3347
25	103	3301
26	107	3295
27	111	3275
28	115	3263
29	118	3250
30	122	3248
31	126	3248
32	131	3261
33	135	3252
34	139	3247
35	143	3246
36	147	3238
37	150	3224
38	154	3219
39	158	3210
40	162	3206
41	165	3199
42	170	3200
43	174	3196
44	178	3192
45	181	3184
46	185	3176
47	189	3170
48	193	3173
49	197	3172
50	201	3169
51	205	3162
52	209	3161
53	213	3152
54	217	3148
55	220	3138
56	224	3134
57	228	3133
58	233	3133
59	236	3128
60	240	3124
61	244	3111
62	247	3104
63	251	3096
64	255	3090
65	259	3085
66	263	3082
67	266	3076
68	270	3074
69	274	3071
70	278	3068
71	282	3062
72	287	3063
73	290	3058
74	294	3054
75	298	3048
76	302	3048
77	306	3042
78	310	3040
79	314	3035
80	318	3035
81	323	3033
82	326	3029
83	331	3027
84	335	3025
85	339	3024
86	343	3022
87	347	3019
88	352	3018
89	356	3016
90	359	3009
91	364	3008
92	367	3002
93	371	2999
94	375	2992
95	379	2988
96	382	2980
97	386	2975
98	390	2966
99	393	2961
100	397	2953
101	400	2945
102	404	2941
103	408	2939
104	412	2933
105	415	2923
106	419	2919
107	423	2914
108	427	2911
109	431	2910
110	435	2907
111	439	2902
112	442	2897
113	446	2893
114	450	2889
115	454	2884
116	458	2882
117	462	2878
118	466	2874
119	470	2869
120	474	2865
121	477	2859
122	481	2855
123	485	2850
124	489	2846
125	493	2842
126	497	2837
127	500	2832
128	503	2821
129	507	2818
130	511	2815
131	515	2810
132	519	2806
133	522	2800
134	526	2797
135	530	2792
136	534	2789
137	538	2785
138	542	2782
139	546	2778
140	550	2774
141	554	2770
142	558	2768
143	562	2766
144	566	2764
145	571	2761
146	575	2758
147	578	2753
148	582	2748
149	586	2743
150	590	2741
151	594	2735
152	598	2732
153	602	2729
154	606	2728
155	610	2725
156	615	2722
157	618	2714
158	621	2708
159	625	2703
160	628	2699
161	632	2695
162	636	2690
163	640	2686
164	644	2683
165	648	2679
166	652	2675
167	656	2670
168	660	2667
169	664	2664
170	667	2659
171	671	2655
172	675	2651
173	679	2648
174	683	2644
175	687	2640
176	691	2636
177	695	2631
178	698	2627
179	702	2622
180	706	2618
181	710	2614
182	714	2610
183	717	2605
184	721	2602
185	725	2597
186	729	2593
187	733	2590
188	737	2587
189	741	2583
190	744	2577
191	748	2572
192	752	2569
193	756	2567
194	761	2564
195	764	2560
196	769	2557
197	773	2554
198	777	2551
199	781	2548
200	785	2545
201	790	2542
202	794	2539
203	798	2536
204	801	2529
205	805	2527
206	810	2523
207	814	2520
208	817	2516
209	822	2513
210	826	2510
211	830	2507
212	834	2504
213	839	2502
214	843	2499
215	847	2496
216	851	2493
217	855	2489
218	859	2485
219	863	2480
220	867	2476
221	871	2472
222	875	2469
223	879	2464
224	883	2462
225	887	2457
226	891	2454
227	894	2449
228	899	2446
229	903	2442
230	906	2437
231	910	2433
232	914	2430
233	918	2426
234	923	2423
235	927	2420
236	931	2416
237	935	2413
238	940	2411
239	944	2408
240	948	2404
241	952	2401
242	956	2398
243	961	2395
244	965	2392
245	970	2389
246	974	2386
247	978	2383
248	982	2380
249	987	2376
250	991	2374
251	995	2370
252	1000	2368
253	1004	2365
254	1008	2361
255	1012	2358
256	1017	2355
257	1021	2352
258	1025	2348
259	1030	2345
260	1034	2341
261	1038	2339
262	1043	2335
263	1047	2332
264	1051	2329
265	1055	2326
266	1059	2322
267	1064	2318
268	1068	2315
269	1072	2311
270	1079	2314
271	1086	2316
272	1092	2316
273	1101	2322
274	1109	2327
275	1116	2330
276	1121	2328
277	1126	2325
278	1133	2326
279	1137	2323
280	1142	2321
281	1147	2318
282	1151	2315
283	1155	2311
284	1160	2308
285	1164	2304
286	1168	2299
287	1172	2296
288	1176	2292
289	1180	2287
290	1184	2283
291	1188	2278
292	1192	2274
293	1195	2269
294	1200	2266
295	1204	2262
296	1208	2258
297	1212	2254
298	1218	2253
299	1225	2254
300	1233	2258
